JOB_NUMBER,JOB_TYPE,C_O_ISSUE_DATE,BIN_NUMBER,BOROUGH,NUMBER,STREET,POSTCODE,PR_DWELLING_UNIT,EX_DWELLING_UNIT,APPLICATION_STATUS_RAW,FILING_STATUS_RAW,ITEM_NUMBER,ISSUE_TYPE,LATITUDE,LONGITUDE,CENSUS_TRACT,NTA,LOCATION
121510980,A1,12/15/16,1007163,Manhattan,22,SPRING STREET,10012,16,18,Issued,New,9,Temporary,40.721472,-73.995126,41,SoHo-TriBeCa-Civic Center-Little Italy,"(40.721472, -73.995126)"
121186331,A1,12/15/16,1082870,Manhattan,280,1ST AVENUE,10009,88,87,Issued,New,4,Temporary,40.732886,-73.981284,44,Stuyvesant Town-Cooper Village,"(40.732886, -73.981284)"
101605265,A1,12/15/16,1007025,Manhattan,182,LAFAYETTE STREET,10013,5,5,Issued,New,30,Temporary,40.72064,-73.998568,45,SoHo-TriBeCa-Civic Center-Little Italy,"(40.72064, -73.998568)"
120072964,A1,12/15/16,1016142,Manhattan,12,EAST   18 STREET,10003,4,0,Issued,New,7,Temporary,40.738184,-73.991062,52,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.738184, -73.991062)"
104508640,A1,12/15/16,1016212,Manhattan,252,PARK AVENUE SOUTH,10010,80,,Issued,New,23,Temporary,40.738406,-73.987684,52,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.738406, -73.987684)"
120551429,A1,5/30/17,1001025,Manhattan,14,WALL STREET,10005,,,Issued,New,13,Temporary,40.707347,-74.010997,7,Battery Park City-Lower Manhattan,"(40.707347, -74.010997)"
121323763,A1,12/15/16,1009203,Manhattan,821,BROADWAY,10003,1,1,Issued,New,2,Temporary,40.733441,-73.991387,61,West Village,"(40.733441, -73.991387)"
120548498,A1,4/13/17,1001025,Manhattan,14,WALL STREET,10005,,,Issued,New,14,Temporary,40.707347,-74.010997,7,Battery Park City-Lower Manhattan,"(40.707347, -74.010997)"
102252410,A1,12/15/16,1080230,Manhattan,132,PERRY STREET,10014,11,,Issued,New,30,Temporary,40.734923,-74.007538,75,West Village,"(40.734923, -74.007538)"
120933507,A1,4/13/17,1001025,Manhattan,14,WALL STREET,10005,,,Issued,New,7,Temporary,40.707347,-74.010997,7,Battery Park City-Lower Manhattan,"(40.707347, -74.010997)"
102658786,A1,4/7/17,1001025,Manhattan,14,WALL STREET,10005,,,Issued,New,33,Temporary,40.707347,-74.010997,7,Battery Park City-Lower Manhattan,"(40.707347, -74.010997)"
120471934,A1,12/15/16,1012154,Manhattan,91,HORATIO STREET,10014,272,272,Issued,New,27,Temporary,40.738763,-74.008332,79,West Village,"(40.738763, -74.008332)"
103433571,A1,12/15/16,1012237,Manhattan,400,WEST   14 STREET,10014,7,,Issued,New,23,Temporary,40.741072,-74.005676,79,West Village,"(40.741072, -74.005676)"
122063453,A1,4/6/17,1001025,Manhattan,14,WALL STREET,10005,,,Issued,New,4,Temporary,40.707347,-74.010997,7,Battery Park City-Lower Manhattan,"(40.707347, -74.010997)"
121414610,A1,3/6/17,1001025,Manhattan,14,WALL STREET,10005,,,Issued,New,1,Temporary,40.707347,-74.010997,7,Battery Park City-Lower Manhattan,"(40.707347, -74.010997)"
121808687,A1,12/15/16,1013041,Manhattan,58,9TH AVE,10011,3,2,Issued,New,1,Temporary,40.74142,-74.005009,83,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.74142, -74.005009)"
120551429,A1,2/24/17,1001025,Manhattan,14,WALL STREET,10005,,,Issued,New,12,Temporary,40.707347,-74.010997,7,Battery Park City-Lower Manhattan,"(40.707347, -74.010997)"
120785622,NB,12/15/16,1089862,Manhattan,500,WEST 30 STREET,10001,390,,Issued,New,17,Temporary,40.752125,-74.001159,99,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.752125, -74.001159)"
120053707,NB,12/15/16,1089395,Manhattan,525,WEST 28TH STREET,10001,710,,Issued,New,20,Temporary,40.751337,-74.003068,99,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.751337, -74.003068)"
104316722,NB,12/15/16,1087746,Manhattan,535,WEST   19 STREET,10011,57,0,Issued,New,39,Temporary,40.745691,-74.007023,99,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.745691, -74.007023)"
122063453,A1,1/13/17,1001025,Manhattan,14,WALL STREET,10005,,,Issued,New,3,Temporary,40.707347,-74.010997,7,Battery Park City-Lower Manhattan,"(40.707347, -74.010997)"
102658786,A1,1/12/17,1001025,Manhattan,14,WALL STREET,10005,,,Issued,New,32,Temporary,40.707347,-74.010997,7,Battery Park City-Lower Manhattan,"(40.707347, -74.010997)"
121181121,NB,12/15/16,1089376,Manhattan,20,WEST 53RD STREET,10019,173,,Issued,New,20,Temporary,40.760972,-73.977172,104,Midtown-Midtown South,"(40.760972, -73.977172)"
122063453,A1,10/17/16,1001025,Manhattan,14,WALL STREET,10005,,,Issued,New,2,Temporary,40.707347,-74.010997,7,Battery Park City-Lower Manhattan,"(40.707347, -74.010997)"
102658786,A1,9/27/16,1001025,Manhattan,14,WALL STREET,10005,,,Issued,New,31,Temporary,40.707347,-74.010997,7,Battery Park City-Lower Manhattan,"(40.707347, -74.010997)"
