,0,Tracts
0,-0.0018077215572108944,36061000201
1,-0.003332500254017961,36061000202
2,0.0005076762025814286,36061000600
3,-0.00985537340475704,36061000700
4,-0.0010895096581630456,36061000800
5,-0.014779789571565116,36061000900
6,0.002801103772931734,36061001001
7,-0.000676194151868583,36061001002
8,-0.01287754077262438,36061001200
9,-0.012607981083920814,36061001300
10,0.003274604915558899,36061001401
11,-0.0005781167796582276,36061001402
12,-0.007617788404534447,36061001501
13,-0.0035131929450500014,36061001502
14,-0.01327916635887292,36061001600
15,-0.009773252521813807,36061001800
16,0.0,36061002000
17,-0.027105111718885057,36061002100
18,0.003085492752805674,36061002201
19,0.02580710024907125,36061002202
20,0.002081200971908541,36061002400
21,0.0016766208438251822,36061002500
22,-0.0017282093163406226,36061002601
23,0.008925011513419689,36061002602
24,-0.03650238877116592,36061002700
25,-0.012928034599524936,36061002800
26,-0.003985415806726585,36061002900
27,-0.011819198474361397,36061003001
28,-0.0022753695847170415,36061003002
29,-0.03589125678498203,36061003100
30,-0.007847748598629535,36061003200
31,9.715010947649276e-05,36061003300
32,-0.01075518973890931,36061003400
33,0.003234849662615061,36061003601
34,-0.005945688024957357,36061003602
35,-0.05547229072810621,36061003700
36,-0.012008198940287065,36061003800
37,-0.018222457347391755,36061003900
38,-0.01487639521155698,36061004000
39,-0.019928088790638596,36061004100
40,-0.021452618190235386,36061004200
41,0.002714038576535871,36061004300
42,-0.007463730794742277,36061004400
43,-0.021472700236640187,36061004500
44,-0.012211768582745301,36061004700
45,-0.01565340671462245,36061004800
46,-0.0013099277812062232,36061004900
47,-0.029986543427616277,36061005000
48,0.01622689088774448,36061005200
49,-0.0041742067215604,36061005400
50,-0.010720908310462405,36061005501
51,-0.029099354962343987,36061005502
52,-0.01179574415278773,36061005600
53,-0.0018881914370007665,36061005700
54,-0.02248441069921048,36061005800
55,-0.007315470247968183,36061005900
56,-0.01847721057978374,36061006000
57,-0.03607485898241263,36061006100
58,-0.0260255147761411,36061006200
59,-0.01146077810390165,36061006300
60,-0.005554633242562839,36061006400
61,-0.0038969296278088907,36061006500
62,0.0005453720152643488,36061006600
63,-0.01018797326320746,36061006700
64,-0.027781921700450622,36061006800
65,-0.025855271928388934,36061006900
66,0.007099868848656111,36061007000
67,-0.013314967190645146,36061007100
68,0.0068580357164539805,36061007200
69,0.00220070621358903,36061007300
70,0.012496864277997191,36061007400
71,-0.0014260709932827512,36061007500
72,-0.004311058259733909,36061007600
73,-0.020163339013711874,36061007700
74,0.005846420644522848,36061007800
75,0.00438269163726903,36061007900
76,-0.013174713832037489,36061008000
77,-0.014088695560248502,36061008100
78,-0.015430951801920155,36061008200
79,0.0024297245384408772,36061008300
80,-0.0037389608611792494,36061008400
81,-0.007662649333065434,36061008601
82,-0.002440113600470419,36061008603
83,-0.01042743220425552,36061008700
84,0.00465131947498624,36061008800
85,-0.0018765451802159746,36061008900
86,0.004247877265012081,36061009000
87,-0.01383419711169474,36061009100
88,-0.0021050412154647678,36061009200
89,0.005719323757827313,36061009300
90,-0.10370569280343717,36061009400
91,-0.01603454233637752,36061009500
92,-0.014049121538778192,36061009600
93,-0.006306369737256069,36061009700
94,-0.021454586714242073,36061009800
95,-4.9737641522167625e-05,36061009900
96,-0.012727111758585107,36061010000
97,-0.021477127138538353,36061010100
98,0.020963663507982514,36061010200
99,-6.580984530563502e-05,36061010300
100,0.0026820630629893353,36061010400
101,-0.008524545155505651,36061010601
