GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Built 2010 or later,Margin of Error; Total: - Built 2010 or later,Estimate; Total: - Built 2000 to 2009,Margin of Error; Total: - Built 2000 to 2009,Estimate; Total: - Built 1990 to 1999,Margin of Error; Total: - Built 1990 to 1999,Estimate; Total: - Built 1980 to 1989,Margin of Error; Total: - Built 1980 to 1989,Estimate; Total: - Built 1970 to 1979,Margin of Error; Total: - Built 1970 to 1979,Estimate; Total: - Built 1960 to 1969,Margin of Error; Total: - Built 1960 to 1969,Estimate; Total: - Built 1950 to 1959,Margin of Error; Total: - Built 1950 to 1959,Estimate; Total: - Built 1940 to 1949,Margin of Error; Total: - Built 1940 to 1949,Estimate; Total: - Built 1939 or earlier,Margin of Error; Total: - Built 1939 or earlier
1400000US36061022800,36061022800,"Census Tract 228, New York County, New York",2790,81,0,16,131,88,234,97,10,22,104,68,272,149,124,98,125,87,1790,212
1400000US36061022900,36061022900,"Census Tract 229, New York County, New York",3202,80,87,83,24,37,30,39,14,25,56,44,89,65,50,43,294,101,2558,166
1400000US36061023000,36061023000,"Census Tract 230, New York County, New York",3952,95,16,26,91,69,248,132,211,116,195,101,397,124,231,115,442,138,2121,264
1400000US36061023100,36061023100,"Census Tract 231, New York County, New York",2924,89,14,24,16,27,0,16,17,27,139,92,100,71,304,115,196,95,2138,183
1400000US36061023200,36061023200,"Census Tract 232, New York County, New York",3338,115,88,91,75,69,247,121,166,92,332,177,665,216,416,159,351,147,998,224
1400000US36061023300,36061023300,"Census Tract 233, New York County, New York",2713,66,0,16,63,56,54,62,20,31,7,13,15,30,27,30,196,104,2331,146
1400000US36061023400,36061023400,"Census Tract 234, New York County, New York",2366,58,17,24,242,101,79,54,25,25,237,92,51,48,134,76,128,55,1453,140
1400000US36061023501,36061023501,"Census Tract 235.01, New York County, New York",2606,58,0,16,60,57,16,26,242,104,129,74,41,39,80,61,211,110,1827,206
1400000US36061023502,36061023502,"Census Tract 235.02, New York County, New York",940,52,0,11,29,28,87,49,42,32,9,13,17,22,72,52,179,70,505,98
1400000US36061023600,36061023600,"Census Tract 236, New York County, New York",3135,111,0,16,214,106,258,120,166,132,62,54,1408,241,100,97,287,127,640,207
