GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",940,74,633,99,358,106,275,80,18,20,257,76,307,102,248,97,59,38
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",3338,168,1915,233,1141,249,774,229,125,90,649,213,1423,243,1407,241,16,27
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",3912,167,2491,289,1333,253,1158,286,259,157,899,262,1421,295,1342,292,79,55
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",4225,320,1010,236,875,228,135,100,55,63,80,74,3215,321,2245,332,970,218
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",3830,192,2603,287,1741,271,862,202,181,93,681,186,1227,243,1141,240,86,71
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",507,100,223,61,198,62,25,19,4,6,21,18,284,75,188,63,96,45
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",760,67,371,82,307,79,64,40,13,19,51,37,389,87,335,89,54,28
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",2215,125,1513,177,445,133,1068,185,244,133,824,170,702,170,657,171,45,45
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",1740,83,790,121,491,116,299,89,100,58,199,75,950,125,857,113,93,61
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",2310,200,435,110,340,94,95,74,56,65,39,35,1875,226,1442,220,433,126
