GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - With interest, dividends, or net rental income","Margin of Error; Total: - With interest, dividends, or net rental income","Estimate; Total: - No interest, dividends, or net rental income","Margin of Error; Total: - No interest, dividends, or net rental income"
1400000US36061006900,36061006900,"Census Tract 69, New York County, New York",1221,134,557,121,664,150
1400000US36061007000,36061007000,"Census Tract 70, New York County, New York",4817,387,1677,331,3140,409
1400000US36061007100,36061007100,"Census Tract 71, New York County, New York",3269,204,1662,247,1607,240
1400000US36061007200,36061007200,"Census Tract 72, New York County, New York",4042,363,1712,274,2330,314
1400000US36061007300,36061007300,"Census Tract 73, New York County, New York",3727,330,1251,235,2476,326
1400000US36061007400,36061007400,"Census Tract 74, New York County, New York",2108,188,832,154,1276,206
1400000US36061007500,36061007500,"Census Tract 75, New York County, New York",2493,153,778,197,1715,221
1400000US36061007600,36061007600,"Census Tract 76, New York County, New York",1160,105,328,98,832,123
1400000US36061007700,36061007700,"Census Tract 77, New York County, New York",3481,273,1179,224,2302,278
1400000US36061007800,36061007800,"Census Tract 78, New York County, New York",4294,330,1527,301,2767,339
1400000US36061007900,36061007900,"Census Tract 79, New York County, New York",2638,196,976,186,1662,240
1400000US36061008000,36061008000,"Census Tract 80, New York County, New York",3039,242,1265,224,1774,240
1400000US36061008100,36061008100,"Census Tract 81, New York County, New York",4838,303,1918,317,2920,347
1400000US36061008200,36061008200,"Census Tract 82, New York County, New York",1918,179,728,147,1190,206
1400000US36061008300,36061008300,"Census Tract 83, New York County, New York",1973,174,321,116,1652,168
1400000US36061008400,36061008400,"Census Tract 84, New York County, New York",891,80,242,72,649,87
1400000US36061008601,36061008601,"Census Tract 86.01, New York County, New York",1232,139,496,132,736,164
1400000US36061008602,36061008602,"Census Tract 86.02, New York County, New York",0,12,0,12,0,12
1400000US36061008603,36061008603,"Census Tract 86.03, New York County, New York",2479,272,1249,205,1230,266
1400000US36061008700,36061008700,"Census Tract 87, New York County, New York",3893,241,1279,230,2614,324
1400000US36061008800,36061008800,"Census Tract 88, New York County, New York",4441,311,1729,295,2712,346
1400000US36061008900,36061008900,"Census Tract 89, New York County, New York",3142,196,1040,175,2102,230
1400000US36061009000,36061009000,"Census Tract 90, New York County, New York",4208,343,1471,252,2737,376
1400000US36061009100,36061009100,"Census Tract 91, New York County, New York",3894,196,1289,199,2605,280
1400000US36061009200,36061009200,"Census Tract 92, New York County, New York",1149,105,448,108,701,134
1400000US36061009300,36061009300,"Census Tract 93, New York County, New York",5044,279,1608,295,3436,339
1400000US36061009400,36061009400,"Census Tract 94, New York County, New York",16,14,0,12,16,14
1400000US36061009500,36061009500,"Census Tract 95, New York County, New York",1154,128,560,105,594,124
1400000US36061009600,36061009600,"Census Tract 96, New York County, New York",130,60,31,26,99,58
1400000US36061009700,36061009700,"Census Tract 97, New York County, New York",2647,104,962,177,1685,171
1400000US36061009800,36061009800,"Census Tract 98, New York County, New York",4256,294,1341,257,2915,313
1400000US36061009900,36061009900,"Census Tract 99, New York County, New York",2048,162,519,100,1529,152
1400000US36061010000,36061010000,"Census Tract 100, New York County, New York",1214,77,370,106,844,126
1400000US36061010100,36061010100,"Census Tract 101, New York County, New York",634,81,168,53,466,70
1400000US36061010200,36061010200,"Census Tract 102, New York County, New York",151,48,26,29,125,65
1400000US36061010300,36061010300,"Census Tract 103, New York County, New York",1147,106,364,109,783,112
1400000US36061010400,36061010400,"Census Tract 104, New York County, New York",667,90,244,70,423,82
1400000US36061010601,36061010601,"Census Tract 106.01, New York County, New York",4276,270,2359,326,1917,306
1400000US36061010602,36061010602,"Census Tract 106.02, New York County, New York",2561,189,880,189,1681,209
1400000US36061010800,36061010800,"Census Tract 108, New York County, New York",4880,415,1904,314,2976,391
1400000US36061010900,36061010900,"Census Tract 109, New York County, New York",76,24,48,30,28,20
1400000US36061011000,36061011000,"Census Tract 110, New York County, New York",4201,314,1613,287,2588,301
1400000US36061011100,36061011100,"Census Tract 111, New York County, New York",2096,168,442,152,1654,184
1400000US36061011201,36061011201,"Census Tract 112.01, New York County, New York",573,71,293,81,280,62
1400000US36061011202,36061011202,"Census Tract 112.02, New York County, New York",193,65,67,35,126,59
1400000US36061011203,36061011203,"Census Tract 112.03, New York County, New York",695,114,322,87,373,87
1400000US36061011300,36061011300,"Census Tract 113, New York County, New York",102,58,67,55,35,24
1400000US36061011401,36061011401,"Census Tract 114.01, New York County, New York",659,113,420,85,239,79
1400000US36061011402,36061011402,"Census Tract 114.02, New York County, New York",1392,147,662,135,730,141
1400000US36061011500,36061011500,"Census Tract 115, New York County, New York",1189,135,277,84,912,119
1400000US36061011600,36061011600,"Census Tract 116, New York County, New York",2169,216,451,131,1718,227
1400000US36061011700,36061011700,"Census Tract 117, New York County, New York",1736,205,384,157,1352,186
1400000US36061011800,36061011800,"Census Tract 118, New York County, New York",5314,368,2216,369,3098,390
1400000US36061011900,36061011900,"Census Tract 119, New York County, New York",1013,78,65,56,948,97
1400000US36061012000,36061012000,"Census Tract 120, New York County, New York",1862,201,1288,203,574,167
1400000US36061012100,36061012100,"Census Tract 121, New York County, New York",5076,336,1904,295,3172,389
1400000US36061012200,36061012200,"Census Tract 122, New York County, New York",1739,238,976,166,763,211
1400000US36061012400,36061012400,"Census Tract 124, New York County, New York",5081,455,1602,333,3479,439
1400000US36061012500,36061012500,"Census Tract 125, New York County, New York",1448,143,371,115,1077,135
1400000US36061012600,36061012600,"Census Tract 126, New York County, New York",6992,594,2837,412,4155,503
1400000US36061012700,36061012700,"Census Tract 127, New York County, New York",3751,260,912,227,2839,306
1400000US36061012800,36061012800,"Census Tract 128, New York County, New York",3027,204,1712,220,1315,222
1400000US36061012900,36061012900,"Census Tract 129, New York County, New York",2958,202,737,175,2221,217
1400000US36061013000,36061013000,"Census Tract 130, New York County, New York",1928,223,1372,200,556,157
1400000US36061013100,36061013100,"Census Tract 131, New York County, New York",1669,138,522,113,1147,138
1400000US36061013200,36061013200,"Census Tract 132, New York County, New York",6002,348,1950,371,4052,455
1400000US36061013300,36061013300,"Census Tract 133, New York County, New York",2846,232,585,172,2261,254
1400000US36061013400,36061013400,"Census Tract 134, New York County, New York",6320,448,2333,395,3987,557
1400000US36061013500,36061013500,"Census Tract 135, New York County, New York",3440,213,416,114,3024,216
1400000US36061013600,36061013600,"Census Tract 136, New York County, New York",8415,550,3105,459,5310,524
1400000US36061013700,36061013700,"Census Tract 137, New York County, New York",3888,382,1635,274,2253,359
1400000US36061013800,36061013800,"Census Tract 138, New York County, New York",7349,387,2590,516,4759,541
1400000US36061013900,36061013900,"Census Tract 139, New York County, New York",5570,522,1088,258,4482,567
1400000US36061014000,36061014000,"Census Tract 140, New York County, New York",3790,249,1964,237,1826,229
1400000US36061014200,36061014200,"Census Tract 142, New York County, New York",1962,195,850,203,1112,186
1400000US36061014300,36061014300,"Census Tract 143, New York County, New York",0,12,0,12,0,12
1400000US36061014401,36061014401,"Census Tract 144.01, New York County, New York",2593,177,1018,198,1575,237
1400000US36061014402,36061014402,"Census Tract 144.02, New York County, New York",3913,198,1262,224,2651,270
1400000US36061014500,36061014500,"Census Tract 145, New York County, New York",2504,238,1293,218,1211,240
1400000US36061014601,36061014601,"Census Tract 146.01, New York County, New York",2413,178,689,174,1724,230
1400000US36061014602,36061014602,"Census Tract 146.02, New York County, New York",4716,282,1636,263,3080,333
1400000US36061014700,36061014700,"Census Tract 147, New York County, New York",1363,127,424,91,939,127
1400000US36061014801,36061014801,"Census Tract 148.01, New York County, New York",1345,108,569,103,776,123
1400000US36061014802,36061014802,"Census Tract 148.02, New York County, New York",3395,231,1894,270,1501,239
1400000US36061014900,36061014900,"Census Tract 149, New York County, New York",3052,234,1723,227,1329,222
1400000US36061015001,36061015001,"Census Tract 150.01, New York County, New York",1065,112,671,118,394,87
1400000US36061015002,36061015002,"Census Tract 150.02, New York County, New York",2380,200,1738,211,642,155
1400000US36061015100,36061015100,"Census Tract 151, New York County, New York",4075,286,1003,331,3072,366
1400000US36061015200,36061015200,"Census Tract 152, New York County, New York",3610,168,1018,199,2592,232
1400000US36061015300,36061015300,"Census Tract 153, New York County, New York",4885,280,2396,355,2489,326
1400000US36061015400,36061015400,"Census Tract 154, New York County, New York",7621,400,2310,456,5311,538
1400000US36061015500,36061015500,"Census Tract 155, New York County, New York",5325,374,2577,369,2748,425
1400000US36061015601,36061015601,"Census Tract 156.01, New York County, New York",2854,140,479,141,2375,184
1400000US36061015602,36061015602,"Census Tract 156.02, New York County, New York",998,88,164,72,834,97
1400000US36061015700,36061015700,"Census Tract 157, New York County, New York",5751,475,2539,483,3212,416
1400000US36061015801,36061015801,"Census Tract 158.01, New York County, New York",2453,181,1103,154,1350,207
1400000US36061015802,36061015802,"Census Tract 158.02, New York County, New York",1847,137,359,87,1488,144
1400000US36061015900,36061015900,"Census Tract 159, New York County, New York",5129,419,2384,419,2745,406
1400000US36061016001,36061016001,"Census Tract 160.01, New York County, New York",1617,133,1014,137,603,137
1400000US36061016002,36061016002,"Census Tract 160.02, New York County, New York",1120,126,478,106,642,112
1400000US36061016100,36061016100,"Census Tract 161, New York County, New York",3705,267,1367,217,2338,271
1400000US36061016200,36061016200,"Census Tract 162, New York County, New York",3844,184,436,161,3408,238
1400000US36061016300,36061016300,"Census Tract 163, New York County, New York",4021,206,1900,216,2121,268
1400000US36061016400,36061016400,"Census Tract 164, New York County, New York",2386,133,322,126,2064,171
1400000US36061016500,36061016500,"Census Tract 165, New York County, New York",3463,199,1927,230,1536,219
1400000US36061016600,36061016600,"Census Tract 166, New York County, New York",2791,163,334,125,2457,179
1400000US36061016700,36061016700,"Census Tract 167, New York County, New York",3266,213,1536,220,1730,236
1400000US36061016800,36061016800,"Census Tract 168, New York County, New York",1558,102,234,81,1324,105
1400000US36061016900,36061016900,"Census Tract 169, New York County, New York",4027,307,1683,299,2344,385
1400000US36061017000,36061017000,"Census Tract 170, New York County, New York",3161,157,397,148,2764,188
1400000US36061017100,36061017100,"Census Tract 171, New York County, New York",4642,224,2452,316,2190,335
1400000US36061017200,36061017200,"Census Tract 172, New York County, New York",2154,116,147,91,2007,142
1400000US36061017300,36061017300,"Census Tract 173, New York County, New York",4266,311,1608,291,2658,346
1400000US36061017401,36061017401,"Census Tract 174.01, New York County, New York",1921,144,296,150,1625,210
1400000US36061017402,36061017402,"Census Tract 174.02, New York County, New York",856,33,61,33,795,47
1400000US36061017500,36061017500,"Census Tract 175, New York County, New York",4923,306,2673,296,2250,353
1400000US36061017700,36061017700,"Census Tract 177, New York County, New York",4577,253,1312,225,3265,274
1400000US36061017800,36061017800,"Census Tract 178, New York County, New York",1625,110,188,90,1437,124
1400000US36061017900,36061017900,"Census Tract 179, New York County, New York",4833,256,1907,296,2926,352
1400000US36061018000,36061018000,"Census Tract 180, New York County, New York",2682,155,250,127,2432,198
1400000US36061018100,36061018100,"Census Tract 181, New York County, New York",4254,210,1454,281,2800,287
1400000US36061018200,36061018200,"Census Tract 182, New York County, New York",2476,163,60,62,2416,157
1400000US36061018300,36061018300,"Census Tract 183, New York County, New York",4389,302,1655,271,2734,335
1400000US36061018400,36061018400,"Census Tract 184, New York County, New York",2833,197,364,135,2469,233
1400000US36061018500,36061018500,"Census Tract 185, New York County, New York",2731,167,715,187,2016,219
1400000US36061018600,36061018600,"Census Tract 186, New York County, New York",1969,93,48,42,1921,101
1400000US36061018700,36061018700,"Census Tract 187, New York County, New York",4025,244,1519,275,2506,300
1400000US36061018800,36061018800,"Census Tract 188, New York County, New York",2164,160,77,62,2087,162
1400000US36061018900,36061018900,"Census Tract 189, New York County, New York",4975,231,579,198,4396,307
1400000US36061019000,36061019000,"Census Tract 190, New York County, New York",1327,97,231,76,1096,117
1400000US36061019100,36061019100,"Census Tract 191, New York County, New York",4552,193,2053,262,2499,319
1400000US36061019200,36061019200,"Census Tract 192, New York County, New York",1291,53,16,18,1275,57
1400000US36061019300,36061019300,"Census Tract 193, New York County, New York",3944,203,329,114,3615,216
