GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",940,74,208,87,139,74,139,64,96,54,23,25,16,19,16,18,12,16,49,39,66,68,76,57,51,38,39,48,0,12,0,12,10,17
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",3338,168,686,185,384,144,181,90,328,170,258,107,192,119,113,83,98,79,175,141,122,85,337,189,111,79,174,103,44,48,33,40,102,59
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",3912,167,1061,266,608,211,312,141,200,117,239,149,150,82,85,76,132,120,107,119,357,216,139,106,152,95,158,95,92,105,16,25,104,105
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",4225,320,304,130,27,35,93,79,40,39,30,36,91,80,12,18,66,55,76,74,232,145,256,125,426,152,563,189,296,186,682,222,1031,272
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",3830,192,650,194,476,165,599,181,191,94,155,93,370,172,129,97,108,55,105,77,373,153,201,119,263,106,78,68,71,64,17,27,44,52
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",507,100,3,4,5,7,5,7,0,12,0,12,0,12,19,24,9,14,0,12,0,12,11,10,35,25,97,56,57,32,69,41,197,74
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",760,67,41,30,5,9,23,19,52,38,54,31,5,10,19,31,6,8,13,18,43,38,78,44,83,45,39,27,41,35,139,66,119,43
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",2215,125,462,162,473,188,259,118,157,97,18,24,89,61,172,127,106,76,39,39,103,74,190,124,104,71,41,38,2,23,0,17,0,17
