GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Built 2010 or later,Margin of Error; Total: - Built 2010 or later,Estimate; Total: - Built 2000 to 2009,Margin of Error; Total: - Built 2000 to 2009,Estimate; Total: - Built 1990 to 1999,Margin of Error; Total: - Built 1990 to 1999,Estimate; Total: - Built 1980 to 1989,Margin of Error; Total: - Built 1980 to 1989,Estimate; Total: - Built 1970 to 1979,Margin of Error; Total: - Built 1970 to 1979,Estimate; Total: - Built 1960 to 1969,Margin of Error; Total: - Built 1960 to 1969,Estimate; Total: - Built 1950 to 1959,Margin of Error; Total: - Built 1950 to 1959,Estimate; Total: - Built 1940 to 1949,Margin of Error; Total: - Built 1940 to 1949,Estimate; Total: - Built 1939 or earlier,Margin of Error; Total: - Built 1939 or earlier
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",1026,46,12,21,0,12,0,12,8,14,294,80,55,39,281,76,72,61,304,74
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",3598,92,0,17,99,100,0,17,13,20,43,40,626,158,789,201,1599,251,429,184
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",10,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,16
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",4083,115,0,19,91,59,310,162,401,148,589,218,932,251,497,151,165,142,1098,283
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",5201,146,0,17,1164,278,313,149,363,189,269,154,159,84,331,115,184,142,2418,330
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",4150,107,0,19,103,88,63,47,30,47,111,99,118,92,152,92,106,61,3467,202
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",939,69,4,6,212,67,50,46,113,55,14,12,23,21,7,11,10,15,506,96
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",837,16,0,12,0,12,5,9,0,12,15,18,66,38,629,85,97,67,25,23
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",2346,56,0,17,0,17,0,17,30,34,182,81,410,144,1091,189,236,123,397,148
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",1857,29,0,12,0,12,106,68,0,12,352,97,75,51,521,128,386,111,417,103
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",3028,79,0,12,184,106,98,67,71,53,249,102,57,43,196,94,94,63,2079,172
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",1708,51,0,12,0,12,26,29,0,12,9,15,949,146,651,127,54,35,19,21
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",1468,44,0,12,11,17,80,41,115,61,287,86,141,74,100,63,77,44,657,113
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",3450,113,187,97,229,152,2,9,236,128,1467,218,522,157,97,98,42,40,668,202
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",3459,101,0,17,919,208,263,131,238,117,266,119,103,76,80,80,150,85,1440,210
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",3242,166,0,17,220,108,100,78,15,25,749,146,106,67,35,35,174,110,1843,216
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",3489,133,0,17,222,94,159,97,122,91,280,108,73,65,103,68,159,83,2371,240
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",1899,33,0,12,0,12,0,12,17,18,128,74,163,89,442,107,834,127,315,96
1400000US36061002100,36061002100,"Census Tract 21, New York County, New York",3038,68,0,17,1135,184,116,77,455,143,119,74,239,119,31,34,53,43,890,165
1400000US36061002201,36061002201,"Census Tract 22.01, New York County, New York",3030,60,15,23,223,122,37,44,216,100,354,153,1082,187,270,130,184,96,649,171
1400000US36061002202,36061002202,"Census Tract 22.02, New York County, New York",1045,43,0,12,192,75,56,39,36,27,32,34,96,65,51,56,65,46,517,104
1400000US36061002400,36061002400,"Census Tract 24, New York County, New York",2175,39,0,17,0,17,29,49,10,16,333,107,164,80,548,139,717,155,374,136
1400000US36061002500,36061002500,"Census Tract 25, New York County, New York",1917,50,0,17,8,14,10,15,19,30,170,92,163,82,837,140,471,136,239,77
1400000US36061002601,36061002601,"Census Tract 26.01, New York County, New York",1593,44,0,12,177,59,209,86,254,99,76,38,41,34,66,39,37,34,733,128
1400000US36061002602,36061002602,"Census Tract 26.02, New York County, New York",2177,82,0,12,425,157,179,101,75,79,30,50,102,75,56,57,39,36,1271,214
1400000US36061002700,36061002700,"Census Tract 27, New York County, New York",655,37,0,12,0,12,0,12,6,9,15,14,337,81,37,30,31,29,229,75
1400000US36061002800,36061002800,"Census Tract 28, New York County, New York",3341,120,45,70,238,106,187,108,192,90,343,137,868,209,227,113,148,95,1093,209
1400000US36061002900,36061002900,"Census Tract 29, New York County, New York",2420,89,0,17,14,21,91,58,69,66,47,42,229,95,106,76,143,85,1721,173
1400000US36061003001,36061003001,"Census Tract 30.01, New York County, New York",2553,90,16,25,312,104,162,96,26,31,72,56,92,62,90,87,88,49,1695,165
1400000US36061003002,36061003002,"Census Tract 30.02, New York County, New York",1885,63,0,12,27,26,121,79,143,56,232,95,206,63,138,69,167,68,851,133
1400000US36061003100,36061003100,"Census Tract 31, New York County, New York",858,49,8,10,432,73,142,57,80,53,0,12,6,9,0,12,4,8,186,63
1400000US36061003200,36061003200,"Census Tract 32, New York County, New York",4888,110,0,17,101,79,11,18,102,101,49,47,1130,240,386,146,295,126,2814,278
1400000US36061003300,36061003300,"Census Tract 33, New York County, New York",2694,105,0,17,301,90,350,106,69,53,0,17,19,30,18,25,101,75,1836,157
1400000US36061003400,36061003400,"Census Tract 34, New York County, New York",4203,119,0,17,424,178,75,55,87,70,168,109,160,107,350,139,237,98,2702,261
