90205,MAUI,Chihuahua Crossbreed,Manhattan,6,7/23/16,7/23/17
90975,BABY ,Unknown,Manhattan,6,7/27/16,9/9/17
101313,LUNA,Puggle,Manhattan,6,9/12/16,10/21/17
105011,PENELOPE,Rat Terrier,Manhattan,6,9/26/16,5/1/18
105176,WENDY,Miniature Pinscher,Manhattan,6,9/27/16,10/15/17
106448,LELAND,Maltese,Manhattan,6,10/3/16,10/31/17
106687,MILO,Yorkshire Terrier,Manhattan,6,10/4/16,10/4/17
106715,SASHA,American Pit Bull Terrier/Pit Bull,Manhattan,6,10/4/16,12/6/17
106943,COPPER,Shih Tzu Crossbreed,Manhattan,6,10/5/16,10/5/19
107447,MOCHI,Maltese,Manhattan,6,10/7/16,12/1/17
108076,MARLON,Unknown,Manhattan,6,10/12/16,11/4/17
108528,LEBRON,Jack Russell Terrier,Manhattan,6,10/14/16,9/27/17
109654,FAITH,Maltese,Manhattan,6,10/19/16,10/19/17
110771,BEBE,Pomeranian,Manhattan,6,10/24/16,10/5/17
110904,COOPER,American Pit Bull Mix / Pit Bull Mix,Manhattan,6,10/24/16,12/20/17
111647,WIGGLES ,Yorkshire Terrier,Manhattan,6,10/28/16,10/28/17
112097,TALKY,Pekingese,Manhattan,6,10/31/16,5/18/21
112446,SNOWY ,Maltese,Manhattan,6,11/2/16,9/27/17
113863,UNKNOWN,Poodle Crossbreed,Manhattan,6,11/10/16,11/10/17
114567,CHANEL,Yorkshire Terrier,Manhattan,6,11/15/16,1/19/19
116266,SPARKY,Pug,Manhattan,6,11/23/16,10/17/17
120203,FORTUNE,Australian Shepherd,Manhattan,6,12/18/16,12/18/17
120961,RICEBALL,Shih Tzu,Manhattan,6,12/23/16,1/28/18
121530,TAO,"Bull Dog, French",Manhattan,6,12/28/16,12/28/17
338,BENJAMIN,Standard Schnauzer,Manhattan,7,10/8/14,10/8/16
743,BRADLEY,Parson Russell Terrier,Manhattan,7,11/11/14,11/11/16
924,MADISON ,Cavalier King Charles Spaniel,Manhattan,7,11/28/14,11/11/16
1026,BUNNI,Shih Tzu,Manhattan,7,12/11/14,9/12/16
1029,PEANUT,"Poodle, Miniature",Manhattan,7,12/11/14,3/14/16
1643,LOU ,Unknown,Manhattan,7,12/26/14,1/27/16
2179,UNKNOWN,Unknown,Manhattan,7,1/5/15,1/5/16
2303,GALE ,"Bull Dog, French",Manhattan,7,1/5/15,1/5/16
2551,POPSIE,Unknown,Manhattan,7,1/8/15,1/8/16
2641,BRUNO,Cocker Spaniel,Manhattan,7,1/10/15,1/10/17
3021,RANGELEY,Labrador Retriever Crossbreed,Manhattan,7,1/14/15,1/14/17
3051,TEDDY ,Border Collie,Manhattan,7,1/15/15,1/15/16
3361,KAIDEN,Labrador Retriever Crossbreed,Manhattan,7,1/17/15,1/17/17
3526,CAYMAN,American Staffordshire Terrier ,Manhattan,7,1/20/15,1/20/18
3760,FRANKLIN ,Puggle,Manhattan,7,1/22/15,1/31/16
3814,WINSTON ,Beagle Crossbreed,Manhattan,7,1/22/15,1/21/16
4067,GHOST,Siberian Husky,Manhattan,7,1/26/15,1/26/16
4600,UNKNOWN,Poodle,Manhattan,7,1/31/15,1/31/16
4622,LOTUS,Shiba Inu,Manhattan,7,1/31/15,1/31/16
4797,UNKNOWN,Lhasa Apso,Manhattan,7,2/2/15,2/2/16
4857,KOJI,Rat Terrier,Manhattan,7,2/3/15,2/3/16
5609,FLUFFY,Maltese,Manhattan,7,2/11/15,2/11/18
5952,SMARTY-MARTY ,Chinese Crested,Manhattan,7,2/14/15,2/14/20
6292,THEO,Tibetan Terrier,Manhattan,7,2/17/15,2/17/16
6330,MARLEY,Cavalier King Charles Spaniel,Manhattan,7,2/17/15,2/21/20
6400,BAMM-BAMM,Havanese,Manhattan,7,2/18/15,3/13/17
6457,SYDNEY,Yorkshire Terrier,Manhattan,7,2/19/15,5/3/20
6495,BARNEY,Yorkshire Terrier,Manhattan,7,2/19/15,3/28/16
6731,BELLE,Golden Retriever,Manhattan,7,2/21/15,2/21/16
