GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD31,"Margin of Error; Total: - Male: - Natural resources, construction, and maintenance occupations: - Farming, fishing, and forestry occupations"
HD01_VD32,"Estimate; Total: - Male: - Natural resources, construction, and maintenance occupations: - Construction and extraction occupations"
HD02_VD32,"Margin of Error; Total: - Male: - Natural resources, construction, and maintenance occupations: - Construction and extraction occupations"
HD01_VD33,"Estimate; Total: - Male: - Natural resources, construction, and maintenance occupations: - Installation, maintenance, and repair occupations"
HD02_VD33,"Margin of Error; Total: - Male: - Natural resources, construction, and maintenance occupations: - Installation, maintenance, and repair occupations"
HD01_VD34,"Estimate; Total: - Male: - Production, transportation, and material moving occupations:"
HD02_VD34,"Margin of Error; Total: - Male: - Production, transportation, and material moving occupations:"
HD01_VD35,"Estimate; Total: - Male: - Production, transportation, and material moving occupations: - Production occupations"
HD02_VD35,"Margin of Error; Total: - Male: - Production, transportation, and material moving occupations: - Production occupations"
HD01_VD36,"Estimate; Total: - Male: - Production, transportation, and material moving occupations: - Transportation occupations"
HD02_VD36,"Margin of Error; Total: - Male: - Production, transportation, and material moving occupations: - Transportation occupations"
HD01_VD37,"Estimate; Total: - Male: - Production, transportation, and material moving occupations: - Material moving occupations"
HD02_VD37,"Margin of Error; Total: - Male: - Production, transportation, and material moving occupations: - Material moving occupations"
HD01_VD38,Estimate; Total: - Female:
HD02_VD38,Margin of Error; Total: - Female:
HD01_VD39,"Estimate; Total: - Female: - Management, business, science, and arts occupations:"
HD02_VD39,"Margin of Error; Total: - Female: - Management, business, science, and arts occupations:"
HD01_VD40,"Estimate; Total: - Female: - Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HD02_VD40,"Margin of Error; Total: - Female: - Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HD01_VD41,"Estimate; Total: - Female: - Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HD02_VD41,"Margin of Error; Total: - Female: - Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HD01_VD42,"Estimate; Total: - Female: - Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HD02_VD42,"Margin of Error; Total: - Female: - Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HD01_VD43,"Estimate; Total: - Female: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HD02_VD43,"Margin of Error; Total: - Female: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HD01_VD44,"Estimate; Total: - Female: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HD02_VD44,"Margin of Error; Total: - Female: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HD01_VD45,"Estimate; Total: - Female: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HD02_VD45,"Margin of Error; Total: - Female: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HD01_VD46,"Estimate; Total: - Female: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HD02_VD46,"Margin of Error; Total: - Female: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HD01_VD47,"Estimate; Total: - Female: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HD02_VD47,"Margin of Error; Total: - Female: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HD01_VD48,"Estimate; Total: - Female: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social service occupations"
HD02_VD48,"Margin of Error; Total: - Female: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social service occupations"
HD01_VD49,"Estimate; Total: - Female: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations"
HD02_VD49,"Margin of Error; Total: - Female: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations"
HD01_VD50,"Estimate; Total: - Female: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations"
HD02_VD50,"Margin of Error; Total: - Female: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations"
HD01_VD51,"Estimate; Total: - Female: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations"
HD02_VD51,"Margin of Error; Total: - Female: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations"
HD01_VD52,"Estimate; Total: - Female: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations:"
HD02_VD52,"Margin of Error; Total: - Female: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations:"
HD01_VD53,"Estimate; Total: - Female: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations: - Health diagnosing and treating practitioners and other technical occupations"
HD02_VD53,"Margin of Error; Total: - Female: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations: - Health diagnosing and treating practitioners and other technical occupations"
HD01_VD54,"Estimate; Total: - Female: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations: - Health technologists and technicians"
HD02_VD54,"Margin of Error; Total: - Female: - Management, business, science, and arts occupations: - Healthcare practitioners and technical occupations: - Health technologists and technicians"
HD01_VD55,Estimate; Total: - Female: - Service occupations:
HD02_VD55,Margin of Error; Total: - Female: - Service occupations:
HD01_VD56,Estimate; Total: - Female: - Service occupations: - Healthcare support occupations
HD02_VD56,Margin of Error; Total: - Female: - Service occupations: - Healthcare support occupations
HD01_VD57,Estimate; Total: - Female: - Service occupations: - Protective service occupations:
HD02_VD57,Margin of Error; Total: - Female: - Service occupations: - Protective service occupations:
HD01_VD58,"Estimate; Total: - Female: - Service occupations: - Protective service occupations: - Fire fighting and prevention, and other protective service workers including supervisors"
HD02_VD58,"Margin of Error; Total: - Female: - Service occupations: - Protective service occupations: - Fire fighting and prevention, and other protective service workers including supervisors"
HD01_VD59,Estimate; Total: - Female: - Service occupations: - Protective service occupations: - Law enforcement workers including supervisors
HD02_VD59,Margin of Error; Total: - Female: - Service occupations: - Protective service occupations: - Law enforcement workers including supervisors
HD01_VD60,Estimate; Total: - Female: - Service occupations: - Food preparation and serving related occupations
HD02_VD60,Margin of Error; Total: - Female: - Service occupations: - Food preparation and serving related occupations
HD01_VD61,Estimate; Total: - Female: - Service occupations: - Building and grounds cleaning and maintenance occupations
HD02_VD61,Margin of Error; Total: - Female: - Service occupations: - Building and grounds cleaning and maintenance occupations
HD01_VD62,Estimate; Total: - Female: - Service occupations: - Personal care and service occupations
HD02_VD62,Margin of Error; Total: - Female: - Service occupations: - Personal care and service occupations
HD01_VD63,Estimate; Total: - Female: - Sales and office occupations:
HD02_VD63,Margin of Error; Total: - Female: - Sales and office occupations:
HD01_VD64,Estimate; Total: - Female: - Sales and office occupations: - Sales and related occupations
HD02_VD64,Margin of Error; Total: - Female: - Sales and office occupations: - Sales and related occupations
HD01_VD65,Estimate; Total: - Female: - Sales and office occupations: - Office and administrative support occupations
HD02_VD65,Margin of Error; Total: - Female: - Sales and office occupations: - Office and administrative support occupations
HD01_VD66,"Estimate; Total: - Female: - Natural resources, construction, and maintenance occupations:"
HD02_VD66,"Margin of Error; Total: - Female: - Natural resources, construction, and maintenance occupations:"
HD01_VD67,"Estimate; Total: - Female: - Natural resources, construction, and maintenance occupations: - Farming, fishing, and forestry occupations"
HD02_VD67,"Margin of Error; Total: - Female: - Natural resources, construction, and maintenance occupations: - Farming, fishing, and forestry occupations"
HD01_VD68,"Estimate; Total: - Female: - Natural resources, construction, and maintenance occupations: - Construction and extraction occupations"
HD02_VD68,"Margin of Error; Total: - Female: - Natural resources, construction, and maintenance occupations: - Construction and extraction occupations"
HD01_VD69,"Estimate; Total: - Female: - Natural resources, construction, and maintenance occupations: - Installation, maintenance, and repair occupations"
HD02_VD69,"Margin of Error; Total: - Female: - Natural resources, construction, and maintenance occupations: - Installation, maintenance, and repair occupations"
HD01_VD70,"Estimate; Total: - Female: - Production, transportation, and material moving occupations:"
HD02_VD70,"Margin of Error; Total: - Female: - Production, transportation, and material moving occupations:"
HD01_VD71,"Estimate; Total: - Female: - Production, transportation, and material moving occupations: - Production occupations"
HD02_VD71,"Margin of Error; Total: - Female: - Production, transportation, and material moving occupations: - Production occupations"
HD01_VD72,"Estimate; Total: - Female: - Production, transportation, and material moving occupations: - Transportation occupations"
HD02_VD72,"Margin of Error; Total: - Female: - Production, transportation, and material moving occupations: - Transportation occupations"
HD01_VD73,"Estimate; Total: - Female: - Production, transportation, and material moving occupations: - Material moving occupations"
HD02_VD73,"Margin of Error; Total: - Female: - Production, transportation, and material moving occupations: - Material moving occupations"
