GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - 1, detached","Margin of Error; Total: - 1, detached","Estimate; Total: - 1, attached","Margin of Error; Total: - 1, attached",Estimate; Total: - 2,Margin of Error; Total: - 2,Estimate; Total: - 3 or 4,Margin of Error; Total: - 3 or 4,Estimate; Total: - 5 to 9,Margin of Error; Total: - 5 to 9,Estimate; Total: - 10 to 19,Margin of Error; Total: - 10 to 19,Estimate; Total: - 20 to 49,Margin of Error; Total: - 20 to 49,Estimate; Total: - 50 or more,Margin of Error; Total: - 50 or more,Estimate; Total: - Mobile home,Margin of Error; Total: - Mobile home,"Estimate; Total: - Boat, RV, van, etc.","Margin of Error; Total: - Boat, RV, van, etc."
1500000US360610075001,360610075001,"Block Group 1, Census Tract 75, New York County, New York",1104,161,0,11,0,11,17,29,17,26,40,45,144,99,195,119,691,171,0,11,0,11
1500000US360610075002,360610075002,"Block Group 2, Census Tract 75, New York County, New York",993,158,0,11,0,11,0,11,40,44,82,54,226,85,400,145,245,159,0,11,0,11
1500000US360610075003,360610075003,"Block Group 3, Census Tract 75, New York County, New York",662,152,40,46,0,11,85,96,21,34,117,98,238,109,161,96,0,11,0,11,0,11
1500000US360610076001,360610076001,"Block Group 1, Census Tract 76, New York County, New York",1130,98,11,17,0,11,0,11,10,16,19,30,10,18,48,47,1026,107,6,9,0,11
1500000US360610076002,360610076002,"Block Group 2, Census Tract 76, New York County, New York",230,72,0,11,0,11,0,11,6,10,18,24,17,19,81,44,108,61,0,11,0,11
1500000US360610077001,360610077001,"Block Group 1, Census Tract 77, New York County, New York",914,172,0,11,0,11,0,11,0,11,46,45,117,78,170,93,581,158,0,11,0,11
1500000US360610077002,360610077002,"Block Group 2, Census Tract 77, New York County, New York",761,148,26,34,32,26,0,11,87,96,0,11,108,89,195,104,313,96,0,11,0,11
1500000US360610077003,360610077003,"Block Group 3, Census Tract 77, New York County, New York",1107,166,17,27,0,11,75,83,21,34,184,99,266,131,256,116,288,106,0,11,0,11
1500000US360610077004,360610077004,"Block Group 4, Census Tract 77, New York County, New York",930,191,18,29,18,30,0,11,0,11,65,90,51,39,509,168,269,118,0,11,0,11
1500000US360610077005,360610077005,"Block Group 5, Census Tract 77, New York County, New York",529,137,43,50,52,83,0,11,33,41,92,65,67,40,207,93,35,29,0,11,0,11
