GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Science and Engineering,Margin of Error; Total: - Science and Engineering,Estimate; Total: - Science and Engineering Related Fields,Margin of Error; Total: - Science and Engineering Related Fields,Estimate; Total: - Business,Margin of Error; Total: - Business,Estimate; Total: - Education,Margin of Error; Total: - Education,"Estimate; Total: - Arts, Humanities and Other","Margin of Error; Total: - Arts, Humanities and Other"
1500000US360610191003,360610191003,"Block Group 3, Census Tract 191, New York County, New York",577,205,174,108,32,60,78,96,0,11,293,151
1500000US360610191004,360610191004,"Block Group 4, Census Tract 191, New York County, New York",850,234,163,107,62,70,119,118,94,81,412,198
1500000US360610191005,360610191005,"Block Group 5, Census Tract 191, New York County, New York",1007,407,446,318,0,11,53,74,120,145,388,237
1500000US360610191006,360610191006,"Block Group 6, Census Tract 191, New York County, New York",375,153,160,107,0,11,0,11,0,11,215,138
1500000US360610192000,360610192000,"Block Group 0, Census Tract 192, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610192001,360610192001,"Block Group 1, Census Tract 192, New York County, New York",28,34,9,13,0,11,0,11,0,11,19,32
1500000US360610192002,360610192002,"Block Group 2, Census Tract 192, New York County, New York",123,113,49,63,0,11,34,36,0,11,40,48
1500000US360610192003,360610192003,"Block Group 3, Census Tract 192, New York County, New York",150,89,28,32,0,11,9,13,11,17,102,78
1500000US360610193001,360610193001,"Block Group 1, Census Tract 193, New York County, New York",791,310,381,199,11,25,68,80,82,91,249,179
1500000US360610193002,360610193002,"Block Group 2, Census Tract 193, New York County, New York",634,309,128,97,88,140,89,82,0,11,329,239
1500000US360610193003,360610193003,"Block Group 3, Census Tract 193, New York County, New York",405,207,31,46,26,42,90,107,0,11,258,182
1500000US360610193004,360610193004,"Block Group 4, Census Tract 193, New York County, New York",137,102,119,94,0,11,0,11,0,11,18,29
1500000US360610193005,360610193005,"Block Group 5, Census Tract 193, New York County, New York",819,349,309,180,41,65,219,230,0,11,250,155
1500000US360610193006,360610193006,"Block Group 6, Census Tract 193, New York County, New York",399,224,133,115,76,89,31,50,0,11,159,149
1500000US360610194001,360610194001,"Block Group 1, Census Tract 194, New York County, New York",78,106,10,21,0,11,68,105,0,11,0,11
1500000US360610194002,360610194002,"Block Group 2, Census Tract 194, New York County, New York",273,145,155,133,0,11,17,29,42,49,59,43
1500000US360610194003,360610194003,"Block Group 3, Census Tract 194, New York County, New York",138,113,102,104,0,11,16,27,0,11,20,26
1500000US360610194004,360610194004,"Block Group 4, Census Tract 194, New York County, New York",127,114,0,11,0,11,107,108,0,11,20,32
1500000US360610195000,360610195000,"Block Group 0, Census Tract 195, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610195001,360610195001,"Block Group 1, Census Tract 195, New York County, New York",714,163,300,111,87,77,52,47,0,11,275,119
1500000US360610195002,360610195002,"Block Group 2, Census Tract 195, New York County, New York",1020,276,443,230,16,26,75,76,16,25,470,159
1500000US360610195003,360610195003,"Block Group 3, Census Tract 195, New York County, New York",896,229,411,159,0,11,46,43,0,11,439,178
1500000US360610195004,360610195004,"Block Group 4, Census Tract 195, New York County, New York",434,184,169,101,35,41,48,54,30,34,152,141
1500000US360610195005,360610195005,"Block Group 5, Census Tract 195, New York County, New York",1000,323,488,244,34,37,87,52,44,41,347,121
1500000US360610196001,360610196001,"Block Group 1, Census Tract 196, New York County, New York",294,146,152,119,10,15,29,37,19,23,84,61
1500000US360610196002,360610196002,"Block Group 2, Census Tract 196, New York County, New York",164,78,67,57,11,19,7,12,9,13,70,45
1500000US360610196003,360610196003,"Block Group 3, Census Tract 196, New York County, New York",149,105,41,39,0,11,29,29,0,11,79,94
1500000US360610197011,360610197011,"Block Group 1, Census Tract 197.01, New York County, New York",327,74,182,68,13,14,46,29,12,18,74,30
1500000US360610197021,360610197021,"Block Group 1, Census Tract 197.02, New York County, New York",1184,253,498,135,30,25,295,118,27,33,334,144
1500000US360610198001,360610198001,"Block Group 1, Census Tract 198, New York County, New York",1027,219,355,117,66,59,171,113,92,58,343,132
1500000US360610198002,360610198002,"Block Group 2, Census Tract 198, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610199000,360610199000,"Block Group 0, Census Tract 199, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610199001,360610199001,"Block Group 1, Census Tract 199, New York County, New York",680,169,261,115,0,11,55,51,15,24,349,136
1500000US360610199002,360610199002,"Block Group 2, Census Tract 199, New York County, New York",652,228,184,132,0,11,63,77,60,49,345,165
1500000US360610199003,360610199003,"Block Group 3, Census Tract 199, New York County, New York",373,170,169,83,6,13,31,42,1,4,166,122
