License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
1294404,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,OPEN MARKET 15 INC,,15 WILLIAM ST,,NEW YORK,NY,10005,835339,6/3/16,6/1/18,5/31/20,40.70457,-74.01048,"(40.70457, -74.01048)"
1294764,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,SHIGEMITSU NEW YORK INC,HARBS,198 9TH AVE,,NEW YORK,NY,10011,835220,6/10/16,6/1/18,5/31/20,40.74585,-74.00155,"(40.74585, -74.00155)"
1293861,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,HOU YI SPICY INC,,97 2ND AVE,,NEW YORK,NY,10003,835294,6/14/16,6/1/18,5/31/20,40.72726,-73.98886,"(40.72726, -73.98886)"
1292067,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,HENG JIU INC,YUKA RESTAURANT,1557 2ND AVE,,NEW YORK,NY,10028,835246,6/15/16,6/1/18,5/31/20,40.7746,-73.95436,"(40.7746, -73.95436)"
1292144,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,RAMEN USA INC,SAKANAYA,304 E 49TH ST,,NEW YORK,NY,10017,835308,6/15/16,6/1/18,5/31/20,40.75398,-73.96861,"(40.75398, -73.96861)"
1294910,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,116 WEST 32 CAFE LLC,CAFE R,116 W 32ND ST,,NEW YORK,NY,10001,835175,6/15/16,6/1/18,5/31/20,40.74883,-73.98972,"(40.74883, -73.98972)"
1291999,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,EL RINCON DEL SABOR LATINO INC,,74 W 47TH ST,ROOM 401,NEW YORK,NY,10036,835282,6/17/16,6/1/18,5/31/20,40.75777,-73.98147,"(40.75777, -73.98147)"
1294501,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,YABA BROTHER INC,CHINATOWN RESTAURANT,1650 3RD AVE STORE 1&2,STORE 1&2,NEW YORK,NY,10128,835353,6/22/16,6/1/18,5/31/20,0,0,"(0.0, 0.0)"
1293733,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,HJBNYC LLC,HANK'S JUICY BEEF,86 CHAMBERS ST,,NEW YORK,NY,10007,835364,6/23/16,6/1/18,5/31/20,40.71425,-74.00672,"(40.71425, -74.00672)"
1291618,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,AKURA SUSHI INC,,39 E 31ST ST,,NEW YORK,NY,10016,835352,6/27/16,6/1/18,5/31/20,40.74557,-73.98338,"(40.74557, -73.98338)"
1307462,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,MERC & SAINT LLC,BARBARRIO,1621 LEXINGTON AVE,,NEW YORK,NY,10029,824399,6/4/18,6/4/18,5/31/20,0,0,"(0.0, 0.0)"
