GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median family income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median family income in the past 12 months (in 2017 inflation-adjusted dollars)
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",-,**
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",-,**
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",45368,40397
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",25729,7877
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",-,**
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",35893,10647
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",65750,19225
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",19375,17375
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",34167,27631
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",46776,43845
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",-,**
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",-,**
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",-,**
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",-,**
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",70865,32175
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",24917,10647
1500000US360610006003,360610006003,"Block Group 3, Census Tract 6, New York County, New York",-,**
1500000US360610006004,360610006004,"Block Group 4, Census Tract 6, New York County, New York",48029,38369
1500000US360610006005,360610006005,"Block Group 5, Census Tract 6, New York County, New York",21309,5351
1500000US360610006006,360610006006,"Block Group 6, Census Tract 6, New York County, New York",22137,17442
1500000US360610007000,360610007000,"Block Group 0, Census Tract 7, New York County, New York",-,**
1500000US360610007001,360610007001,"Block Group 1, Census Tract 7, New York County, New York",166193,78308
1500000US360610007002,360610007002,"Block Group 2, Census Tract 7, New York County, New York",-,**
1500000US360610008000,360610008000,"Block Group 0, Census Tract 8, New York County, New York",-,**
1500000US360610008001,360610008001,"Block Group 1, Census Tract 8, New York County, New York",28565,26161
1500000US360610008002,360610008002,"Block Group 2, Census Tract 8, New York County, New York",24773,15529
1500000US360610008003,360610008003,"Block Group 3, Census Tract 8, New York County, New York",28125,6789
1500000US360610008004,360610008004,"Block Group 4, Census Tract 8, New York County, New York",47321,45388
1500000US360610008005,360610008005,"Block Group 5, Census Tract 8, New York County, New York",37350,14987
1500000US360610008006,360610008006,"Block Group 6, Census Tract 8, New York County, New York",35722,6188
1500000US360610009000,360610009000,"Block Group 0, Census Tract 9, New York County, New York",-,**
1500000US360610009001,360610009001,"Block Group 1, Census Tract 9, New York County, New York",226500,34647
1500000US360610009002,360610009002,"Block Group 2, Census Tract 9, New York County, New York",-,**
1500000US360610010010,360610010010,"Block Group 0, Census Tract 10.01, New York County, New York",-,**
1500000US360610010011,360610010011,"Block Group 1, Census Tract 10.01, New York County, New York",126420,13932
1500000US360610010020,360610010020,"Block Group 0, Census Tract 10.02, New York County, New York",-,**
1500000US360610010021,360610010021,"Block Group 1, Census Tract 10.02, New York County, New York",37986,13240
1500000US360610010022,360610010022,"Block Group 2, Census Tract 10.02, New York County, New York",33693,10993
1500000US360610010023,360610010023,"Block Group 3, Census Tract 10.02, New York County, New York",40903,9179
1500000US360610012001,360610012001,"Block Group 1, Census Tract 12, New York County, New York",39400,14315
1500000US360610012002,360610012002,"Block Group 2, Census Tract 12, New York County, New York",79706,30541
1500000US360610012003,360610012003,"Block Group 3, Census Tract 12, New York County, New York",167188,28543
1500000US360610013001,360610013001,"Block Group 1, Census Tract 13, New York County, New York",184327,87647
1500000US360610013002,360610013002,"Block Group 2, Census Tract 13, New York County, New York",231290,62633
1500000US360610014011,360610014011,"Block Group 1, Census Tract 14.01, New York County, New York",137083,45511
1500000US360610014012,360610014012,"Block Group 2, Census Tract 14.01, New York County, New York",139188,20511
1500000US360610014021,360610014021,"Block Group 1, Census Tract 14.02, New York County, New York",27431,4676
1500000US360610014022,360610014022,"Block Group 2, Census Tract 14.02, New York County, New York",40859,28670
1500000US360610015010,360610015010,"Block Group 0, Census Tract 15.01, New York County, New York",-,**
1500000US360610015011,360610015011,"Block Group 1, Census Tract 15.01, New York County, New York",206250,44311
1500000US360610015012,360610015012,"Block Group 2, Census Tract 15.01, New York County, New York",84362,10290
1500000US360610015013,360610015013,"Block Group 3, Census Tract 15.01, New York County, New York",-,**
1500000US360610015020,360610015020,"Block Group 0, Census Tract 15.02, New York County, New York",-,**
1500000US360610015021,360610015021,"Block Group 1, Census Tract 15.02, New York County, New York",208971,74667
1500000US360610015022,360610015022,"Block Group 2, Census Tract 15.02, New York County, New York",163400,36159
1500000US360610015023,360610015023,"Block Group 3, Census Tract 15.02, New York County, New York",-,**
1500000US360610016001,360610016001,"Block Group 1, Census Tract 16, New York County, New York",26000,13709
1500000US360610016002,360610016002,"Block Group 2, Census Tract 16, New York County, New York",65208,17775
1500000US360610016003,360610016003,"Block Group 3, Census Tract 16, New York County, New York",53000,36645
1500000US360610016004,360610016004,"Block Group 4, Census Tract 16, New York County, New York",-,**
1500000US360610016005,360610016005,"Block Group 5, Census Tract 16, New York County, New York",85699,38585
1500000US360610018001,360610018001,"Block Group 1, Census Tract 18, New York County, New York",-,**
1500000US360610018002,360610018002,"Block Group 2, Census Tract 18, New York County, New York",-,**
1500000US360610018003,360610018003,"Block Group 3, Census Tract 18, New York County, New York",59028,49535
1500000US360610018004,360610018004,"Block Group 4, Census Tract 18, New York County, New York",-,**
1500000US360610018005,360610018005,"Block Group 5, Census Tract 18, New York County, New York",-,**
1500000US360610018006,360610018006,"Block Group 6, Census Tract 18, New York County, New York",-,**
1500000US360610018007,360610018007,"Block Group 7, Census Tract 18, New York County, New York",-,**
1500000US360610020000,360610020000,"Block Group 0, Census Tract 20, New York County, New York",-,**
1500000US360610020001,360610020001,"Block Group 1, Census Tract 20, New York County, New York",20405,7670
1500000US360610020002,360610020002,"Block Group 2, Census Tract 20, New York County, New York",18375,13896
