GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07
Id,Id2,Geography,Estimate; Total:,Estimate; Native:,Estimate; Native: - Allocated,Estimate; Native: - Not allocated,Estimate; Foreign born:,Estimate; Foreign born: - Allocated,Estimate; Foreign born: - Not allocated
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",0,0,0,0,0,0,0
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",0,0,0,0,0,0,0
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",826,400,59,341,426,5,421
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",1904,1309,48,1261,595,43,552
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",0,0,0,0,0,0,0
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",806,551,0,551,255,2,253
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",2287,1527,134,1393,760,258,502
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",1310,784,0,784,526,69,457
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",1398,1073,0,1073,325,0,325
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",1988,1548,129,1419,440,17,423
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",0,0,0,0,0,0,0
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",0,0,0,0,0,0,0
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",0,0,0,0,0,0,0
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",0,0,0,0,0,0,0
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",1677,486,87,399,1191,441,750
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",2155,919,107,812,1236,67,1169
1500000US360610006003,360610006003,"Block Group 3, Census Tract 6, New York County, New York",791,178,0,178,613,17,596
1500000US360610006004,360610006004,"Block Group 4, Census Tract 6, New York County, New York",1449,613,18,595,836,0,836
1500000US360610006005,360610006005,"Block Group 5, Census Tract 6, New York County, New York",2495,1477,107,1370,1018,65,953
1500000US360610006006,360610006006,"Block Group 6, Census Tract 6, New York County, New York",2323,1025,86,939,1298,0,1298
1500000US360610007000,360610007000,"Block Group 0, Census Tract 7, New York County, New York",0,0,0,0,0,0,0
1500000US360610007001,360610007001,"Block Group 1, Census Tract 7, New York County, New York",8881,6624,530,6094,2257,130,2127
1500000US360610007002,360610007002,"Block Group 2, Census Tract 7, New York County, New York",0,0,0,0,0,0,0
1500000US360610008000,360610008000,"Block Group 0, Census Tract 8, New York County, New York",0,0,0,0,0,0,0
1500000US360610008001,360610008001,"Block Group 1, Census Tract 8, New York County, New York",1264,369,0,369,895,51,844
1500000US360610008002,360610008002,"Block Group 2, Census Tract 8, New York County, New York",1229,330,51,279,899,211,688
1500000US360610008003,360610008003,"Block Group 3, Census Tract 8, New York County, New York",1856,451,19,432,1405,247,1158
1500000US360610008004,360610008004,"Block Group 4, Census Tract 8, New York County, New York",1951,832,13,819,1119,232,887
1500000US360610008005,360610008005,"Block Group 5, Census Tract 8, New York County, New York",1762,735,91,644,1027,122,905
1500000US360610008006,360610008006,"Block Group 6, Census Tract 8, New York County, New York",1301,417,68,349,884,129,755
1500000US360610009000,360610009000,"Block Group 0, Census Tract 9, New York County, New York",0,0,0,0,0,0,0
1500000US360610009001,360610009001,"Block Group 1, Census Tract 9, New York County, New York",1736,1233,61,1172,503,47,456
1500000US360610009002,360610009002,"Block Group 2, Census Tract 9, New York County, New York",0,0,0,0,0,0,0
1500000US360610010010,360610010010,"Block Group 0, Census Tract 10.01, New York County, New York",0,0,0,0,0,0,0
1500000US360610010011,360610010011,"Block Group 1, Census Tract 10.01, New York County, New York",1382,1196,78,1118,186,22,164
1500000US360610010020,360610010020,"Block Group 0, Census Tract 10.02, New York County, New York",0,0,0,0,0,0,0
1500000US360610010021,360610010021,"Block Group 1, Census Tract 10.02, New York County, New York",1506,1224,71,1153,282,61,221
1500000US360610010022,360610010022,"Block Group 2, Census Tract 10.02, New York County, New York",979,673,46,627,306,32,274
1500000US360610010023,360610010023,"Block Group 3, Census Tract 10.02, New York County, New York",3222,2509,194,2315,713,14,699
1500000US360610012001,360610012001,"Block Group 1, Census Tract 12, New York County, New York",1678,935,38,897,743,26,717
1500000US360610012002,360610012002,"Block Group 2, Census Tract 12, New York County, New York",915,764,80,684,151,0,151
1500000US360610012003,360610012003,"Block Group 3, Census Tract 12, New York County, New York",1328,1030,36,994,298,110,188
1500000US360610013001,360610013001,"Block Group 1, Census Tract 13, New York County, New York",2538,1912,230,1682,626,0,626
