GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; With cash rent:,Margin of Error; With cash rent:,Estimate; With cash rent: - Less than $100,Margin of Error; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Margin of Error; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Margin of Error; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Margin of Error; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Margin of Error; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Margin of Error; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Margin of Error; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Margin of Error; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Margin of Error; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Margin of Error; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Margin of Error; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Margin of Error; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Margin of Error; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Margin of Error; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Margin of Error; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Margin of Error; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,Margin of Error; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Margin of Error; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Margin of Error; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Margin of Error; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 to $2,499","Margin of Error; With cash rent: - $2,000 to $2,499","Estimate; With cash rent: - $2,500 to $2,999","Margin of Error; With cash rent: - $2,500 to $2,999","Estimate; With cash rent: - $3,000 to $3,499","Margin of Error; With cash rent: - $3,000 to $3,499","Estimate; With cash rent: - $3,500 or more","Margin of Error; With cash rent: - $3,500 or more",Estimate; No cash rent,Margin of Error; No cash rent
1400000US36061023400,36061023400,"Census Tract 234, New York County, New York",2170,127,2082,161,13,20,0,16,39,61,73,64,0,16,25,30,78,64,29,45,41,46,0,16,0,16,44,50,76,73,82,69,170,123,40,46,152,121,213,113,292,129,564,172,151,110,0,16,0,16,0,16,88,103
1400000US36061023501,36061023501,"Census Tract 235.01, New York County, New York",2155,186,2003,194,0,16,0,16,16,27,27,44,53,48,93,77,16,33,38,61,0,16,19,30,20,31,96,83,86,87,98,91,48,51,76,64,194,114,320,165,136,90,446,138,105,63,52,53,48,42,16,25,152,133
1400000US36061023502,36061023502,"Census Tract 235.02, New York County, New York",838,51,776,71,0,11,0,11,13,21,60,46,19,23,47,44,0,11,16,12,26,30,0,11,15,23,9,14,0,11,24,27,0,11,28,32,45,31,124,65,164,58,110,55,61,33,11,13,0,11,4,7,62,38
1400000US36061023600,36061023600,"Census Tract 236, New York County, New York",2583,216,2503,234,0,16,0,16,56,68,114,124,135,109,44,66,0,16,14,23,50,78,115,99,0,16,256,164,46,38,52,46,127,98,262,130,258,134,455,168,268,172,219,154,32,50,0,16,0,16,0,16,80,97
1400000US36061023700,36061023700,"Census Tract 237, New York County, New York",2616,124,2550,130,0,16,0,16,15,24,43,49,71,65,22,35,27,44,29,37,112,85,84,80,86,82,16,26,0,16,0,16,41,48,125,115,237,119,493,198,390,142,339,140,206,107,114,80,76,69,24,44,66,53
1400000US36061023801,36061023801,"Census Tract 238.01, New York County, New York",3291,375,3230,373,0,16,0,16,31,47,19,32,103,154,0,16,0,16,0,16,0,16,19,31,0,16,61,57,0,16,0,16,0,16,0,16,24,38,50,50,226,179,953,278,468,228,535,207,434,210,307,168,61,93
1400000US36061023802,36061023802,"Census Tract 238.02, New York County, New York",587,48,587,48,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,7,10,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,5,7,6,9,32,38,132,43,147,49,193,64,65,32,0,11
1400000US36061023900,36061023900,"Census Tract 239, New York County, New York",1065,71,1054,73,0,11,0,11,0,11,86,45,4,9,20,24,58,47,30,39,78,43,9,14,9,13,0,11,2,18,0,11,37,36,44,43,37,33,109,60,95,55,279,77,120,57,37,36,0,11,0,11,11,20
1400000US36061024000,36061024000,"Census Tract 240, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061024100,36061024100,"Census Tract 241, New York County, New York",2486,225,2440,229,0,16,0,16,0,16,70,60,98,85,77,58,118,93,0,16,16,25,25,42,29,34,12,20,16,26,25,41,10,17,145,93,165,117,464,132,329,172,584,186,163,89,25,36,16,25,53,53,46,76
1400000US36061024200,36061024200,"Census Tract 242, New York County, New York",1726,73,1709,77,0,11,0,11,72,57,178,81,157,72,113,79,116,76,117,71,77,57,46,37,27,32,25,38,82,53,23,24,38,42,110,64,100,56,98,63,71,45,42,33,41,34,102,52,13,20,61,49,17,28
1400000US36061024301,36061024301,"Census Tract 243.01, New York County, New York",1439,105,1388,109,0,11,26,34,0,11,37,34,5,8,57,56,13,20,0,11,26,23,64,56,15,16,63,65,22,33,32,36,0,11,71,48,70,48,300,112,196,81,249,82,69,45,67,53,0,11,6,11,51,47
1400000US36061024302,36061024302,"Census Tract 243.02, New York County, New York",2673,98,2673,98,0,16,49,59,14,22,367,154,182,140,132,80,65,66,144,104,231,142,105,81,149,94,107,94,133,85,80,73,170,114,169,107,167,93,57,49,290,115,62,61,0,16,0,16,0,16,0,16,0,16
1400000US36061024500,36061024500,"Census Tract 245, New York County, New York",4604,240,4494,252,0,18,57,92,24,39,133,96,89,105,27,42,53,86,0,18,83,97,57,92,92,72,91,84,294,179,53,51,98,92,382,159,515,226,1117,300,377,197,503,216,369,156,60,84,20,31,0,18,110,115
1400000US36061024700,36061024700,"Census Tract 247, New York County, New York",2243,190,2184,194,0,16,0,16,0,16,94,93,35,32,17,28,19,31,0,16,0,16,15,25,0,16,21,33,0,16,67,60,18,30,123,117,121,102,632,209,155,96,335,135,432,155,31,39,57,80,12,20,59,93
1400000US36061024900,36061024900,"Census Tract 249, New York County, New York",405,39,380,41,0,11,0,11,0,11,0,11,0,11,3,4,14,21,7,11,14,11,4,8,5,7,6,8,26,24,25,23,7,12,7,7,65,34,47,25,34,23,50,29,63,33,3,5,0,11,0,11,25,20
1400000US36061025100,36061025100,"Census Tract 251, New York County, New York",779,60,759,62,14,20,0,11,19,20,18,20,34,29,15,16,14,12,8,13,31,23,0,11,17,19,4,8,15,14,26,18,5,9,83,43,89,42,89,42,114,50,144,51,14,17,6,8,0,11,0,11,20,18
1400000US36061025300,36061025300,"Census Tract 253, New York County, New York",3840,167,3797,174,0,18,44,70,14,22,19,33,89,72,25,29,18,21,43,68,36,42,49,59,47,53,116,109,38,61,142,97,86,75,240,121,310,145,608,181,382,138,969,214,418,144,72,55,32,32,0,18,43,70
1400000US36061025500,36061025500,"Census Tract 255, New York County, New York",2080,178,2000,193,0,16,0,16,0,16,0,16,111,107,78,103,0,16,0,16,22,34,20,32,75,77,22,27,0,16,0,16,9,15,42,60,220,136,255,120,184,109,436,167,285,136,30,33,176,134,35,33,80,93
1400000US36061025700,36061025700,"Census Tract 257, New York County, New York",1249,115,1238,117,0,11,0,11,0,11,0,11,40,36,0,11,0,11,0,11,10,17,35,33,22,34,43,37,11,17,37,39,18,29,33,29,115,56,135,84,72,55,200,82,124,65,180,88,101,63,62,43,11,17
1400000US36061025900,36061025900,"Census Tract 259, New York County, New York",1034,119,1034,119,0,11,29,43,24,36,8,12,44,40,0,11,0,11,40,40,9,14,29,36,0,11,0,11,19,30,0,11,50,55,19,30,103,65,174,76,224,98,151,64,62,34,29,26,20,21,0,11,0,11
1400000US36061026100,36061026100,"Census Tract 261, New York County, New York",3775,163,3699,175,0,18,0,18,18,28,137,110,108,89,103,83,67,55,35,39,71,69,98,77,62,72,76,65,119,110,174,103,0,18,304,138,236,129,525,186,575,188,622,180,330,143,0,18,39,61,0,18,76,86
1400000US36061026300,36061026300,"Census Tract 263, New York County, New York",3007,96,2972,109,0,16,0,16,0,16,34,54,65,91,79,91,44,69,80,88,34,39,72,85,2,9,16,26,91,85,17,26,0,16,111,68,309,150,412,149,451,176,679,179,334,148,142,87,0,16,0,16,35,56
1400000US36061026500,36061026500,"Census Tract 265, New York County, New York",2309,152,2260,157,0,16,0,16,0,16,0,16,47,41,51,63,0,16,14,24,0,16,45,71,65,65,0,16,62,79,29,40,30,33,164,103,182,105,296,124,369,154,506,155,204,104,170,105,26,30,0,16,49,54
1400000US36061026700,36061026700,"Census Tract 267, New York County, New York",577,38,577,38,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,6,9,0,11,0,11,0,11,0,11,17,14,33,29,13,20,67,33,147,48,56,28,177,46,43,25,0,11,3,7,15,11,0,11
1400000US36061026900,36061026900,"Census Tract 269, New York County, New York",2704,140,2627,141,0,16,0,16,0,16,32,53,18,28,16,25,105,94,12,19,17,28,157,115,83,87,66,75,44,54,98,71,78,77,126,103,190,125,374,141,450,152,601,149,142,102,18,29,0,16,0,16,77,53
1400000US36061027100,36061027100,"Census Tract 271, New York County, New York",2714,142,2678,141,0,16,0,16,0,16,21,32,0,16,14,22,8,15,13,23,19,31,20,31,0,16,49,76,19,26,69,56,17,27,36,41,304,157,515,173,382,190,828,181,229,94,61,54,48,46,26,40,36,42
1400000US36061027300,36061027300,"Census Tract 273, New York County, New York",2364,221,2335,225,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,14,22,33,52,43,61,0,16,0,16,51,76,9,15,42,47,139,92,171,109,359,134,682,174,543,129,233,109,13,20,3,8,29,34
1400000US36061027500,36061027500,"Census Tract 275, New York County, New York",789,101,731,95,0,11,0,11,0,11,0,11,9,16,0,11,9,14,0,11,9,14,0,11,0,11,0,11,10,15,0,11,0,11,6,10,18,20,133,94,94,51,194,68,168,65,38,38,25,21,18,22,58,65
1400000US36061027700,36061027700,"Census Tract 277, New York County, New York",2144,99,2120,103,0,16,0,16,0,16,17,27,66,79,31,42,88,78,49,63,22,36,30,35,23,36,32,41,0,16,20,30,63,60,94,101,87,84,661,218,392,140,337,136,62,63,46,53,0,16,0,16,24,30
1400000US36061027900,36061027900,"Census Tract 279, New York County, New York",3679,204,3552,236,0,18,0,18,12,19,52,62,56,49,17,28,44,51,0,18,0,18,40,65,37,59,21,32,83,56,30,36,53,51,141,103,226,111,763,235,675,207,1066,224,220,110,16,25,0,18,0,18,127,108
1400000US36061028100,36061028100,"Census Tract 281, New York County, New York",1034,75,1024,77,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,9,14,0,11,17,20,18,19,125,59,188,81,240,73,222,68,159,64,41,32,5,7,10,15
