GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - With interest, dividends, or net rental income","Margin of Error; Total: - With interest, dividends, or net rental income","Estimate; Total: - No interest, dividends, or net rental income","Margin of Error; Total: - No interest, dividends, or net rental income"
1400000US36061006000,36061006000,"Census Tract 60, New York County, New York",2410,95,835,171,1575,163
1400000US36061006100,36061006100,"Census Tract 61, New York County, New York",2230,185,1049,209,1181,194
1400000US36061006200,36061006200,"Census Tract 62, New York County, New York",1342,60,427,92,915,104
1400000US36061006300,36061006300,"Census Tract 63, New York County, New York",3669,199,1518,201,2151,258
1400000US36061006400,36061006400,"Census Tract 64, New York County, New York",4427,303,1289,288,3138,341
1400000US36061006500,36061006500,"Census Tract 65, New York County, New York",3110,209,882,205,2228,249
1400000US36061006600,36061006600,"Census Tract 66, New York County, New York",6423,462,1085,323,5338,493
1400000US36061006700,36061006700,"Census Tract 67, New York County, New York",3250,244,1202,243,2048,258
1400000US36061006800,36061006800,"Census Tract 68, New York County, New York",3615,283,1344,289,2271,360
1400000US36061006900,36061006900,"Census Tract 69, New York County, New York",1212,107,635,104,577,111
1400000US36061007000,36061007000,"Census Tract 70, New York County, New York",4850,390,1741,372,3109,414
1400000US36061007100,36061007100,"Census Tract 71, New York County, New York",3358,243,1456,252,1902,297
1400000US36061007200,36061007200,"Census Tract 72, New York County, New York",3772,408,1118,280,2654,454
1400000US36061007300,36061007300,"Census Tract 73, New York County, New York",3720,326,1224,283,2496,384
1400000US36061007400,36061007400,"Census Tract 74, New York County, New York",2257,221,1020,216,1237,236
1400000US36061007500,36061007500,"Census Tract 75, New York County, New York",2499,164,912,192,1587,219
1400000US36061007600,36061007600,"Census Tract 76, New York County, New York",1079,111,230,76,849,122
1400000US36061007700,36061007700,"Census Tract 77, New York County, New York",3546,268,1307,265,2239,304
1400000US36061007800,36061007800,"Census Tract 78, New York County, New York",4556,351,1369,371,3187,467
1400000US36061007900,36061007900,"Census Tract 79, New York County, New York",2628,184,1034,243,1594,255
1400000US36061008000,36061008000,"Census Tract 80, New York County, New York",3118,241,1216,229,1902,233
1400000US36061008100,36061008100,"Census Tract 81, New York County, New York",4592,364,1880,321,2712,371
1400000US36061008200,36061008200,"Census Tract 82, New York County, New York",1998,188,811,195,1187,202
1400000US36061008300,36061008300,"Census Tract 83, New York County, New York",2014,203,328,110,1686,205
