GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Imputed,Estimate; Total: - Not Imputed
1500000US360610020002,360610020002,"Block Group 2, Census Tract 20, New York County, New York",513,70,443
1500000US360610020003,360610020003,"Block Group 3, Census Tract 20, New York County, New York",144,42,102
1500000US360610021001,360610021001,"Block Group 1, Census Tract 21, New York County, New York",2001,171,1830
1500000US360610021002,360610021002,"Block Group 2, Census Tract 21, New York County, New York",2025,37,1988
1500000US360610022011,360610022011,"Block Group 1, Census Tract 22.01, New York County, New York",658,36,622
1500000US360610022012,360610022012,"Block Group 2, Census Tract 22.01, New York County, New York",717,50,667
1500000US360610022013,360610022013,"Block Group 3, Census Tract 22.01, New York County, New York",578,174,404
1500000US360610022014,360610022014,"Block Group 4, Census Tract 22.01, New York County, New York",969,136,833
1500000US360610022021,360610022021,"Block Group 1, Census Tract 22.02, New York County, New York",1467,90,1377
1500000US360610024000,360610024000,"Block Group 0, Census Tract 24, New York County, New York",0,0,0
1500000US360610024001,360610024001,"Block Group 1, Census Tract 24, New York County, New York",1564,216,1348
1500000US360610024002,360610024002,"Block Group 2, Census Tract 24, New York County, New York",470,182,288
1500000US360610025000,360610025000,"Block Group 0, Census Tract 25, New York County, New York",0,0,0
1500000US360610025001,360610025001,"Block Group 1, Census Tract 25, New York County, New York",1121,176,945
1500000US360610025002,360610025002,"Block Group 2, Census Tract 25, New York County, New York",129,60,69
1500000US360610025003,360610025003,"Block Group 3, Census Tract 25, New York County, New York",431,37,394
1500000US360610026011,360610026011,"Block Group 1, Census Tract 26.01, New York County, New York",1020,80,940
1500000US360610026012,360610026012,"Block Group 2, Census Tract 26.01, New York County, New York",1053,119,934
1500000US360610026021,360610026021,"Block Group 1, Census Tract 26.02, New York County, New York",1077,44,1033
1500000US360610026022,360610026022,"Block Group 2, Census Tract 26.02, New York County, New York",1729,238,1491
1500000US360610027001,360610027001,"Block Group 1, Census Tract 27, New York County, New York",622,213,409
1500000US360610028001,360610028001,"Block Group 1, Census Tract 28, New York County, New York",508,26,482
1500000US360610028002,360610028002,"Block Group 2, Census Tract 28, New York County, New York",478,43,435
1500000US360610028003,360610028003,"Block Group 3, Census Tract 28, New York County, New York",1043,25,1018
1500000US360610028004,360610028004,"Block Group 4, Census Tract 28, New York County, New York",1150,68,1082
1500000US360610029001,360610029001,"Block Group 1, Census Tract 29, New York County, New York",199,17,182
1500000US360610029002,360610029002,"Block Group 2, Census Tract 29, New York County, New York",682,208,474
1500000US360610029003,360610029003,"Block Group 3, Census Tract 29, New York County, New York",930,173,757
1500000US360610029004,360610029004,"Block Group 4, Census Tract 29, New York County, New York",197,86,111
1500000US360610030011,360610030011,"Block Group 1, Census Tract 30.01, New York County, New York",966,41,925
1500000US360610030012,360610030012,"Block Group 2, Census Tract 30.01, New York County, New York",954,161,793
1500000US360610030013,360610030013,"Block Group 3, Census Tract 30.01, New York County, New York",448,49,399
