GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Built 2010 or later,Margin of Error; Total: - Built 2010 or later,Estimate; Total: - Built 2000 to 2009,Margin of Error; Total: - Built 2000 to 2009,Estimate; Total: - Built 1990 to 1999,Margin of Error; Total: - Built 1990 to 1999,Estimate; Total: - Built 1980 to 1989,Margin of Error; Total: - Built 1980 to 1989,Estimate; Total: - Built 1970 to 1979,Margin of Error; Total: - Built 1970 to 1979,Estimate; Total: - Built 1960 to 1969,Margin of Error; Total: - Built 1960 to 1969,Estimate; Total: - Built 1950 to 1959,Margin of Error; Total: - Built 1950 to 1959,Estimate; Total: - Built 1940 to 1949,Margin of Error; Total: - Built 1940 to 1949,Estimate; Total: - Built 1939 or earlier,Margin of Error; Total: - Built 1939 or earlier
1400000US36061023802,36061023802,"Census Tract 238.02, New York County, New York",547,90,0,12,418,111,17,28,14,23,18,23,6,9,22,35,0,12,52,47
1400000US36061023900,36061023900,"Census Tract 239, New York County, New York",999,57,0,12,0,12,22,24,25,23,51,45,34,28,63,52,124,69,680,92
1400000US36061024000,36061024000,"Census Tract 240, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061024100,36061024100,"Census Tract 241, New York County, New York",3492,93,0,17,28,43,25,28,125,62,297,137,421,123,293,125,243,131,2060,243
1400000US36061024200,36061024200,"Census Tract 242, New York County, New York",1306,54,24,23,167,58,81,46,244,88,443,100,76,43,97,59,58,52,116,60
1400000US36061024301,36061024301,"Census Tract 243.01, New York County, New York",1467,70,0,12,118,75,39,44,104,67,47,39,0,12,68,49,152,94,939,150
1400000US36061024302,36061024302,"Census Tract 243.02, New York County, New York",2494,84,0,17,0,17,13,19,17,28,144,92,1473,167,540,173,228,95,79,65
1400000US36061024500,36061024500,"Census Tract 245, New York County, New York",5025,104,0,19,0,19,0,19,78,65,84,71,242,116,424,192,578,169,3619,269
1400000US36061024700,36061024700,"Census Tract 247, New York County, New York",2633,100,0,17,23,41,0,17,10,15,0,17,19,23,155,94,572,172,1854,200
1400000US36061024900,36061024900,"Census Tract 249, New York County, New York",368,33,0,12,4,7,0,12,2,7,16,22,25,20,30,37,35,25,256,56
1400000US36061025100,36061025100,"Census Tract 251, New York County, New York",868,46,0,12,0,12,0,12,73,48,0,12,54,40,36,27,84,42,621,80
1400000US36061025300,36061025300,"Census Tract 253, New York County, New York",3972,91,0,19,12,20,16,27,184,101,52,46,79,55,286,115,544,180,2799,230
1400000US36061025500,36061025500,"Census Tract 255, New York County, New York",2380,89,0,17,0,17,9,19,31,35,209,96,158,89,132,81,133,73,1708,187
1400000US36061025700,36061025700,"Census Tract 257, New York County, New York",1919,75,0,12,614,104,21,19,8,13,45,36,48,41,90,54,68,47,1025,133
1400000US36061025900,36061025900,"Census Tract 259, New York County, New York",1637,68,0,12,576,117,64,56,86,50,85,58,88,52,50,65,19,20,669,126
1400000US36061026100,36061026100,"Census Tract 261, New York County, New York",3753,88,0,19,27,33,0,19,71,51,99,74,418,118,212,80,190,96,2736,176
1400000US36061026300,36061026300,"Census Tract 263, New York County, New York",2964,68,0,17,0,17,10,16,32,36,31,34,346,136,173,85,172,86,2200,198
1400000US36061026500,36061026500,"Census Tract 265, New York County, New York",3015,60,0,17,55,71,0,17,31,35,45,40,68,49,344,116,249,116,2223,192
1400000US36061026700,36061026700,"Census Tract 267, New York County, New York",624,36,0,12,0,12,4,8,0,12,0,12,25,21,78,45,144,61,373,78
1400000US36061026900,36061026900,"Census Tract 269, New York County, New York",2835,68,0,17,34,41,13,23,35,34,83,60,27,31,120,77,124,82,2399,153
1400000US36061027100,36061027100,"Census Tract 271, New York County, New York",3039,74,0,17,133,73,0,17,11,18,49,37,36,33,148,86,329,118,2333,182
1400000US36061027300,36061027300,"Census Tract 273, New York County, New York",3347,38,0,17,0,17,15,25,41,37,17,25,86,79,230,87,255,123,2703,164
1400000US36061027500,36061027500,"Census Tract 275, New York County, New York",1690,24,0,12,44,48,0,12,0,12,65,41,131,65,58,40,227,76,1165,103
1400000US36061027700,36061027700,"Census Tract 277, New York County, New York",2166,47,0,17,0,17,25,24,29,31,58,41,52,43,37,39,137,73,1828,117
1400000US36061027900,36061027900,"Census Tract 279, New York County, New York",4078,106,0,19,15,23,14,22,22,28,141,77,217,99,438,130,374,138,2857,225
1400000US36061028100,36061028100,"Census Tract 281, New York County, New York",1393,22,0,12,0,12,0,12,6,10,0,12,228,95,141,58,353,94,665,125
1400000US36061028300,36061028300,"Census Tract 283, New York County, New York",3313,51,15,24,0,17,23,30,16,25,37,37,840,171,325,121,371,130,1686,182
1400000US36061028500,36061028500,"Census Tract 285, New York County, New York",2804,59,0,17,0,17,109,53,40,40,44,36,127,79,60,44,137,69,2287,136
1400000US36061028700,36061028700,"Census Tract 287, New York County, New York",1742,44,0,12,23,33,0,12,0,12,30,27,40,33,25,23,229,76,1395,109
1400000US36061029100,36061029100,"Census Tract 291, New York County, New York",3918,92,12,20,165,99,72,64,0,19,154,98,243,100,195,89,143,80,2934,255
