GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",1966,289,173,111,14,20,0,12,64,90,24,38,25,23,48,52,51,43,73,47,19,20,52,41,161,85,54,65,60,45,60,54,534,191,83,72,29,31,128,80,43,52,194,128,77,63,0,12,0,12
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",6232,451,288,136,0,17,0,17,14,23,0,17,14,23,109,82,29,36,521,307,91,83,269,154,165,121,348,166,114,67,202,113,1493,333,220,104,165,92,753,254,168,93,857,264,310,134,36,33,66,73
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",7661,696,934,352,0,19,13,22,27,44,157,131,61,51,120,106,236,174,521,246,102,60,550,255,269,152,238,130,326,216,239,144,1321,458,257,135,140,97,365,172,463,331,1030,328,272,155,19,30,1,2
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",5629,643,64,100,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,2,4,0,17,0,17,55,87,136,72,1,4,72,70,544,261,70,42,2523,490,1272,322,745,232,145,90
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",8266,712,675,205,0,19,25,29,0,19,94,90,201,107,136,95,386,163,707,254,218,137,688,269,584,222,242,112,73,104,355,163,1574,348,85,77,145,88,675,228,141,98,854,252,292,154,18,29,98,97
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",665,144,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,17,35,17,36,46,33,0,12,3,7,64,59,37,39,248,80,155,58,49,23,29,24
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",1208,180,32,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,31,48,0,12,41,56,0,12,11,17,192,140,17,20,41,35,85,52,71,64,359,100,251,83,35,40,42,53
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",4189,411,214,137,0,17,51,59,0,17,91,92,58,43,126,95,34,38,227,108,49,62,204,138,191,107,218,121,227,176,156,83,927,282,305,103,181,141,605,198,125,97,184,86,16,26,0,17,0,17
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",2888,249,66,65,0,12,10,20,0,12,23,36,38,40,96,80,76,64,23,36,11,17,124,88,84,95,52,46,36,39,47,43,296,120,21,23,110,80,224,81,241,113,672,154,460,176,115,53,63,59
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",3018,324,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,24,0,12,12,25,170,128,0,12,54,47,103,61,146,108,1309,266,820,199,263,113,130,105
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",2614,235,85,75,0,12,0,12,0,12,0,12,0,12,7,11,0,12,16,30,0,12,22,32,2,5,8,11,0,12,67,56,452,142,42,37,37,28,169,67,48,45,901,198,443,147,203,85,112,61
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",2484,247,165,73,0,12,0,12,9,14,17,19,16,26,0,12,25,31,113,110,72,56,96,66,35,35,117,103,51,57,134,105,292,111,67,55,99,65,228,102,146,61,550,150,186,101,33,41,33,43
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",4524,367,302,162,0,17,0,17,0,17,0,17,27,22,37,36,0,17,27,35,5,15,49,57,25,30,2,4,38,50,206,112,431,138,34,37,134,82,323,119,68,57,1432,393,841,266,367,146,176,138
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",4100,499,2,5,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,36,56,0,17,0,17,1,4,24,32,56,90,108,126,274,113,126,98,1883,314,811,243,685,199,94,86
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",5996,672,570,186,0,17,22,35,14,22,40,52,25,28,84,82,171,153,640,220,150,97,378,160,118,100,137,105,112,100,259,175,1032,320,42,40,117,74,315,134,270,138,1227,326,168,109,74,73,31,37
