GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",986,62,716,88,364,102,352,79,26,31,326,85,270,89,236,87,34,40
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",3382,159,1846,217,1042,220,804,186,173,80,631,183,1536,254,1485,249,51,44
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",3838,162,2444,281,1345,273,1099,249,215,135,884,220,1394,257,1302,264,92,76
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",4104,296,1000,191,882,191,118,70,45,50,73,50,3104,284,2245,312,859,237
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",3950,172,2797,231,2014,269,783,199,175,94,608,168,1153,216,1085,198,68,64
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",367,70,148,48,107,46,41,18,0,12,41,18,219,65,124,49,95,44
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",739,82,352,85,292,85,60,40,12,19,48,37,387,90,342,87,45,32
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",2224,119,1413,184,532,114,881,178,154,98,727,183,811,170,767,171,44,45
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",1694,101,779,121,500,123,279,96,83,47,196,85,915,143,808,135,107,61
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",2342,183,443,133,378,121,65,52,23,37,42,34,1899,207,1447,217,452,110
